视频名称,标注,时间段,说明
aishe8864_99,身体暴露：乳房；性暗示动作：挑逗姿势,1-17秒,女性受试者故意露出胸部并揉捏胸部挑逗
aishe8864_100,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
aishe8864_101,身体暴露：乳房,13-16秒,女性受试者故意露出胸部
aishe8864_102,身体暴露：乳房,6-7秒,女性受试者故意露出胸部
aishe8864_103,正常,,
aishe8864_104,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
aishe8864_105,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
aishe8864_106,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
aishe8864_107,性暗示动作：挑逗姿势；身体暴露：乳房,40-155秒,女性受试者故意咬手指露胸部
aishe8864_108,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
aishe8864_109,身体暴露：乳房,14-16秒,女性受试者故意露出胸部
aishe8864_110,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
aishe8864_111,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_112,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
aishe8864_113,身体暴露：乳房,2-8秒,女性受试者故意露出胸部
aishe8864_114,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
aishe8864_115,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
aishe8864_116,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
aishe8864_117,身体暴露：乳房,8-9秒,女性受试者故意露出胸部
aishe8864_118,身体暴露：乳房,1-16秒,女性受试者故意露出胸部
aishe8864_119,身体暴露：乳房,4-9秒,女性受试者故意露出胸部
aishe8864_120,身体暴露：乳房和臀部；性暗示动作：挑逗姿势,1-5秒,女性受试者故意露出胸部和臀部，并扭动身子挑逗
aishe8864_121,身体暴露：乳房,21-24秒,女性受试者故意露出胸部
aishe8864_122,身体暴露：乳房和隐私部位,4-7秒,女性受试者故意露出胸部和隐私部位
aishe8864_123,身体暴露：乳房,18-23秒,女性受试者故意露出胸部
aishe8864_124,身体暴露：乳房,5-7秒,女性受试者故意露出胸部
aishe8864_125,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
aishe8864_126,身体暴露：乳房,2-7秒,女性受试者故意露出胸部
aishe8864_127,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_128,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
aishe8864_129,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
aishe8864_130,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
aishe8864_131,身体暴露：乳房,45-56秒,女性受试者故意露出胸部
aishe8864_132,身体暴露：乳房,2-6秒,女性受试者故意露出胸部
aishe8864_133,身体暴露：乳房；性暗示动作：挑逗姿势,1-5秒,女性受试者故意露出胸部并揉捏胸部，吐舌挑逗
aishe8864_134,性暗示动作：挑逗姿势,4-27秒,女性受试者跳舞并摆有挑逗姿势
aishe8864_135,身体暴露：乳房,2-5秒,女性受试者故意露出胸部
aishe8864_136,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
aishe8864_137,身体暴露：乳房,96-117秒,女性受试者故意露出胸部
aishe8864_138,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
aishe8864_139,身体暴露：乳房,9-11秒,女性受试者故意露出胸部
aishe8864_140,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
aishe8864_141,明显性行为：淫叫,1-42秒,女性受试者发出淫叫
aishe8864_142,身体暴露：乳房,1-27秒,女性受试者故意露出胸部
aishe8864_143,身体暴露：乳房,15-16秒,女性受试者故意露出胸部
aishe8864_144,身体暴露：乳房,14-17秒,女性受试者故意露出胸部
aishe8864_145,身体暴露：乳房；性暗示动作：挑逗姿势,1-27秒,女性受试者跳舞露出胸部并伴有挑逗动作
aishe8864_146,身体暴露：乳房,18-19秒,女性受试者故意露出胸部
aishe8864_147,身体暴露：乳房,4-14秒,女性受试者故意露出胸部
aishe8864_148,身体暴露：乳房,6-15秒,女性受试者故意露出胸部
aishe8864_149,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
aishe8864_150,性暗示动作：挑逗姿势,1-93秒,女性受试者跳舞并伴有挑逗动作
aishe8864_151,身体暴露：乳房,1-26秒,女性受试者故意露出胸部
aishe8864_152,身体暴露：乳房,19-29秒,女性受试者故意露出胸部
aishe8864_153,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
aishe8864_154,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
aishe8864_155,身体暴露：乳房,13-15秒,女性受试者故意露出胸部
aishe8864_156,身体暴露：臀部,87-92秒,女性受试者故意露出臀部
aishe8864_157,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
aishe8864_158,身体暴露：乳房,1-9秒,女性受试者故意露出胸部
aishe8864_159,身体暴露：乳房,18-24秒,女性受试者故意露出胸部
aishe8864_160,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
aishe8864_161,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_162,身体暴露：乳房,4-50秒,女性受试者故意露出胸部
aishe8864_163,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
aishe8864_164,身体暴露：私密部位,1-2秒,女性受试者故意露出私密部位
aishe8864_165,身体暴露：乳房,8-10秒,女性受试者故意露出胸部
aishe8864_166,身体暴露：乳房,10-12秒,女性受试者故意露出胸部
aishe8864_167,身体暴露：乳房,8-11秒,女性受试者故意露出胸部
aishe8864_168,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
aishe8864_169,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
aishe8864_170,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
aishe8864_171,身体暴露：乳房,8-11秒,女性受试者故意露出胸部
aishe8864_172,身体暴露：乳房,2-7秒,女性受试者故意露出胸部
aishe8864_173,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
aishe8864_174,身体暴露：私密部位,1-20秒,女性受试者故意露出私密部位
aishe8864_175,身体暴露：乳房,19-31秒,女性受试者故意露出胸部
aishe8864_176,身体暴露：乳房,4-27秒,女性受试者故意露出胸部
aishe8864_177,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
aishe8864_178,身体暴露：乳房,15-60秒,女性受试者脱掉衣服暴露乳房
aishe8864_179,身体暴露：乳房,6-7秒,女性受试者脱掉衣服暴露乳房
aishe8864_180,"身体暴露：乳房，生殖器
性暗示动作：挑逗姿势",1-133秒,女性受试者裸体跳舞暴露乳房和私密部位
aishe8864_181,身体暴露：臀部,1-4秒和14-39秒,女性受试者脱掉衣服暴露臀部
aishe8864_182,"身体暴露：乳房
性暗示动作：挑逗姿势、性暗示手势
不当触摸：触摸私密部位",3-7秒和16-18秒和34-56秒,女性受试者裸体抚摸私密部位并伴有挑逗姿势
aishe8864_183,,,女性受试者脱掉衣服暴露乳房
aishe8864_184,,,女性受试者脱掉衣服暴露乳房
aishe8864_185,"身体暴露：乳房，私密部位
性暗示动作：挑逗姿势",65-66秒和81-91秒,女性受试者脱掉衣服暴露乳房
aishe8864_186,"身体暴露：乳房，私密部位
性暗示动作：挑逗姿势",1-63秒,女性受试者脱掉衣服暴露乳房
aishe8864_187,身体暴露：乳房，私密部位,4-5秒和7-10秒和52-53秒,
aishe8864_188,身体暴露：乳房,94-95秒,女性受试者脱掉衣服暴露乳房
aishe8864_189,身体暴露：乳房性；暗示动作：揉捏胸部,1-19秒,女性受试者脱掉衣服暴露乳房并揉捏
aishe8864_190,性暗示动作：挑逗姿势,1-5秒,女性受试者脱掉下衣裸露下体
aishe8864_191,身体暴露：乳房；性暗示动作：揉捏胸部,9-10秒,女性受试者脱掉上衣裸露乳房并揉捏
aishe8864_192,正常,,
aishe8864_193,身体暴露：乳房；,17-18秒,女性受试者脱掉上衣裸露乳房
aishe8864_194,身体暴露：乳房，私密部位,21-37秒,女性受试者脱掉衣服裸露乳房和私密部位
aishe8864_195,性暗示动作：揉捏胸部,19-29秒,女性受试者脱掉衣服裸露乳房并揉捏
aishe8864_196,身体暴露：乳房；性暗示动作：揉捏胸部,1-45秒,男受试者在床上揉捏女受试者的胸部并露出
aishe8864_197,身体暴露：乳房,3-10秒,女性受试者脱掉衣服裸露乳房
aishe8864_198,身体暴露：乳房,5-10秒,女性受试者脱掉衣服裸露乳房
aishe8864_199,身体暴露：乳房,1-10秒,女性受试者脱掉遮蔽物裸露乳房
aishe8864_200,身体暴露：乳房,3-5秒和7-9秒,女性受试者脱掉衣服裸露乳房
aishe8864_201,身体暴露：乳房,5-8秒,女性受试者故意裸露乳房
aishe8864_202,明显性行为：自慰,1-9秒,女性受试者拿玩具自慰
aishe8864_203,正常,,
aishe8864_204,身体暴露：乳房,3-11秒,女性受试者脱掉衣服裸露乳房
aishe8864_205,身体暴露：乳房,14-15秒,女性受试者脱掉衣服裸露乳房
aishe8864_206,身体暴露：乳房，私密部位，臀部,1-14秒,女性受试者故意裸露乳房、和私密部和臀部
aishe8864_207,身体暴露：臀部；性暗示动作：挑逗姿势,1-124秒,女性受试者跳舞并使用挑逗姿势，裸漏臀部
aishe8864_208,身体暴露：乳房、私密部位,13-15秒,女性受试者故意裸露乳房
aishe8864_209,身体暴露：乳房,1-35秒,女性受试者裸露全身勾引路人
aishe8864_210,性暗示动作：挑逗姿势,1-126秒,女性受试者跳舞并使用挑逗姿势
aishe8864_211,身体暴露：乳房,1-14秒,女性受试者裸露脱掉上衣裸漏乳房
aishe8864_212,身体暴露：乳房,1-15秒,女性受试者故意裸露乳房
aishe8864_213,性暗示动作：挑逗姿势,1-10秒,女性受试者跳舞并使用挑逗姿势
aishe8864_214,身体暴露：乳房,19-20秒,女性受试者故意裸露乳房
aishe8864_215,身体暴露：乳房,10-11秒,女性受试者故意裸露乳房
aishe8864_216,正常,1-27秒,
aishe8864_217,性暗示动作：挑逗姿势,10-13秒,女性受试者故意将物体放入衣服内
aishe8864_218,正常,,
aishe8864_219,身体暴露：乳房,1-5秒,女性受试者故意裸露乳房
aishe8864_220,身体暴露：乳房；性暗示动作：挑逗姿势,2-19秒,女性受试者故意裸露乳房并舔舐
aishe8864_221,身体暴露：乳房,3-5秒,女性受试者故意裸露乳房
aishe8864_222,性暗示动作：挑逗姿势，揉捏胸部,49-51秒,女性受试者故意跳舞并揉捏乳房
aishe8864_223,性暗示动作：挑逗姿势,1-34秒,女性受试者故意跳舞并搔首弄姿
aishe8864_224,身体暴露：乳房,9-11秒,女性受试者脱掉上衣裸露乳房
aishe8864_225,性暗示动作：挑逗姿势,21-26秒,女性受试者在私密部位比心
aishe8864_226,性暗示动作：揉捏胸部,77-79秒,女性受试者揉捏胸部
aishe8864_227,正常,,
aishe8864_228,身体暴露：乳房；性暗示动作：揉捏胸部,7-9秒,女性受试者故意露出胸部并揉捏胸部
aishe8864_229,身体暴露：乳房,15-18秒,女性受试者故意露出胸部
aishe8864_230,正常,,
aishe8864_231,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
aishe8864_232,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
aishe8864_233,正常,,
aishe8864_234,性暗示动作：揉捏胸部,3-35秒,女性受试者故意揉捏胸部
aishe8864_235,身体暴露：乳房,7-8秒,女性受试者故意露出胸部
aishe8864_236,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
aishe8864_237,性暗示动作：挑逗姿势,1-55秒,女性受试者跳舞并伴有勾引动作
aishe8864_238,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
aishe8864_239,身体暴露：乳房,3-15秒,女性受试者故意露出胸部
aishe8864_240,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
aishe8864_241,身体暴露：乳房；性暗示动作：挑逗姿势,7-28秒,女性受试者故意露出胸部
aishe8864_242,正常,,
aishe8864_243,性暗示动作：挑逗姿势,1-120秒,女性受试者跳舞并伴有勾引动作
aishe8864_244,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
aishe8864_245,身体暴露：乳房,154-180秒,女性受试者故意露出胸部
aishe8864_246,身体暴露：乳房，私密部位,1-3秒,女性受试者故意露出胸部和私密部位
aishe8864_247,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
aishe8864_248,身体暴露：乳房,24-25秒,女性受试者故意露出胸部
aishe8864_249,性暗示动作：挑逗姿势,3-150秒,女性受试者故意跳挑逗舞蹈
aishe8864_250,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_251,正常,,
aishe8864_252,身体暴露：乳房,2-5秒,女性受试者故意露出胸部
aishe8864_253,正常,,
aishe8864_254,正常,,
aishe8864_255,正常,,
,,,
cao27280_1,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_2,身体暴露：乳房,2-8秒,女性受试者故意露出胸部
cao27280_3,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
cao27280_4,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
cao27280_5,身体暴露：乳房,3-8秒,女性受试者故意露出胸部
cao27280_6,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_7,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
cao27280_8,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
cao27280_9,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_10,身体暴露：乳房,8-9秒,女性受试者故意露出胸部
cao27280_11,身体暴露：乳房,9-12秒,女性受试者故意露出胸部
cao27280_12,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_13,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_14,身体暴露：乳房,11-12秒,女性受试者故意露出胸部
cao27280_15,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
cao27280_16,身体暴露：乳房,8-9秒,女性受试者故意露出胸部
cao27280_17,身体暴露：乳房,14-15秒,女性受试者故意露出胸部
cao27280_18,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_19,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
cao27280_20,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
cao27280_21,身体暴露：乳房,10-22秒,女性受试者故意露出胸部
cao27280_22,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
cao27280_23,身体暴露：乳房,10-12秒,女性受试者故意露出胸部
cao27280_24,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
cao27280_25,身体暴露：乳房,3-7秒,女性受试者故意露出胸部
cao27280_26,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_27,身体暴露：乳房,23-25秒,女性受试者故意露出胸部
cao27280_28,身体暴露：乳房,10-12秒,女性受试者故意露出胸部
cao27280_29,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
cao27280_30,身体暴露：乳房和私密部位,4-7秒,女性受试者故意露出胸部和私密部位
cao27280_31,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_32,身体暴露：乳房,5-11秒,女性受试者故意露出胸部
cao27280_33,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
cao27280_34,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
cao27280_35,身体暴露：乳房,1-13秒,女性受试者故意露出胸部
cao27280_36,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_37,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
cao27280_38,身体暴露：乳房,12-14秒,女性受试者故意露出胸部
cao27280_39,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
cao27280_40,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
cao27280_41,身体暴露：乳房,2-11秒,女性受试者故意露出胸部
cao27280_42,身体暴露：乳房,2-5秒,女性受试者故意露出胸部
cao27280_43,身体暴露：乳房,1-27秒,女性受试者故意露出胸部
cao27280_44,身体暴露：乳房,2-5秒,女性受试者故意露出胸部
cao27280_45,身体暴露：乳房,12-15秒,女性受试者故意露出胸部
cao27280_46,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_47,身体暴露：乳房,4-8秒,女性受试者故意露出胸部
cao27280_48,身体暴露：乳房,2-5秒,女性受试者故意露出胸部
cao27280_49,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
cao27280_50,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
cao27280_51,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_52,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_53,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
cao27280_54,正常,,
cao27280_55,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
cao27280_56,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_57,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
cao27280_58,身体暴露：乳房,12-13秒,女性受试者故意露出胸部
cao27280_59,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
cao27280_60,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_61,身体暴露：乳房,4-10秒,女性受试者故意露出胸部
cao27280_62,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_63,身体暴露：乳房,11-12秒,女性受试者故意露出胸部
cao27280_64,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
cao27280_65,身体暴露：乳房,1-9秒,女性受试者故意露出胸部
cao27280_66,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
cao27280_67,正常,,
cao27280_68,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_69,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
cao27280_70,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
cao27280_71,身体暴露：乳房,2-4秒,女性受试者故意露出胸部
cao27280_72,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
cao27280_73,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
cao27280_74,身体暴露：乳房,1-11秒,女性受试者故意露出胸部
cao27280_75,身体暴露：乳房,4-8秒,女性受试者故意露出胸部
cao27280_76,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
cao27280_77,身体暴露：乳房,2-6秒,女性受试者故意露出胸部
cao27280_78,正常,,
cao27280_79,身体暴露：乳房,1-9秒,女性受试者故意露出胸部
cao27280_80,身体暴露：乳房,2-7秒,女性受试者故意露出胸部
cao27280_81,身体暴露：乳房,6-12秒,女性受试者故意露出胸部
cao27280_82,身体暴露：乳房,2-8秒,女性受试者故意露出胸部
cao27280_83,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
cao27280_84,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
cao27280_85,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
cao27280_86,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
cao27280_87,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
cao27280_88,正常,,
cao27280_89,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
cao27280_90,身体暴露：乳房,6-7秒,女性受试者故意露出胸部
cao27280_91,身体暴露：乳房,2-6秒,女性受试者故意露出胸部
cao27280_92,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
cao27280_93,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_94,身体暴露：乳房,5-8秒,女性受试者故意露出胸部
cao27280_95,身体暴露：乳房,6-7秒,女性受试者故意露出胸部
cao27280_96,身体暴露：乳房,8-9秒,女性受试者故意露出胸部
cao27280_97,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_98,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
cao27280_99,身体暴露：乳房,3-15秒,女性受试者故意露出胸部
cao27280_100,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
cao27280_101,身体暴露：乳房,2-10秒,女性受试者故意露出胸部
cao27280_102,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
cao27280_103,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
cao27280_104,身体暴露：乳房,2-12秒,女性受试者故意露出胸部
cao27280_105,身体暴露：乳房,2-14秒,女性受试者故意露出胸部
cao27280_106,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
cao27280_107,身体暴露：乳房,6-7秒,女性受试者故意露出胸部
cao27280_108,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
cao27280_109,身体暴露：乳房,7-9秒,女性受试者故意露出胸部
cao27280_110,正常,,
cao27280_111,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
cao27280_112,身体暴露：乳房,3-7秒,女性受试者故意露出胸部
cao27280_113,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
cao27280_114,正常,,
cao27280_115,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
cao27280_116,正常,,
cao27280_117,身体暴露：乳房,11-16秒,女性受试者故意露出胸部
cao27280_118,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
cao27280_119,身体暴露：乳房,10-11秒,女性受试者故意露出胸部
